,question,difficulty,code,num_lines,num_parameters,num_loops,sample_input,expected_output,actual_output,execution_time_ms,model
97,Write a function that counts the number of islands in a 2D grid.,Medium,"def num_islands(grid):
    def dfs(i, j):
        if i<0 or i>=len(grid) or j<0 or j>=len(grid[0]) or grid[i][j] != '1': return
        grid[i][j] = '0'
        for x,y in [(0,1),(1,0),(0,-1),(-1,0)]: dfs(i+x, j+y)
    count = 0
    for i in range(len(grid)):
        for j in range(len(grid[0])):
            if grid[i][j] == '1':
                dfs(i,j)
                count += 1
    return count
grid = [['1','1','0'],['1','0','0'],['0','0','1']]
result = num_islands(grid)",14,15.0,3,2D grid,2,2,0.1724169997032731,gpt-4o
98,Create a class-based implementation of a singly linked list.,Medium,"class Node:
    def __init__(self, data):
        self.data = data
        self.next = None
class LinkedList:
    def __init__(self):
        self.head = None
    def add(self, data):
        node = Node(data)
        node.next = self.head
        self.head = node
ll = LinkedList()
ll.add(1)
ll.add(2)
result = ll.head.data",15,7.0,0,,2,name 'Node' is not defined,0.1107499992940574,gpt-4o
99,"Design a class to manage a playlist of songs with add, remove, and play operations.",Medium,"class Playlist:
    def __init__(self):
        self.songs = []
    def add(self, song):
        self.songs.append(song)
    def remove(self, song):
        self.songs.remove(song)
    def play(self):
        return self.songs[0] if self.songs else None
p = Playlist()
p.add('Song A')
p.add('Song B')
result = p.play()",13,10.0,0,,Song A,Song A,0.0950829999055713,gpt-4o
100,"Write a program that prints ""Hello, World!"" to the console.",Easy,"print(""Hello, World!"")",1,0.0,0,,"Hello, World!","Hello, World!",0.0110419932752847,o3-mini
101,"Ask the user for their name and age, then print a greeting message.",Easy,"name = input(""Enter your name: "")
age = input(""Enter your age: "")
print(f""Hello, {name}! You are {age} years old."")",3,0.0,0,Alice | 30,"Hello, Alice! You are 30 years old.","Hello, Sasha! You are 20 years old.",0.0547500094398856,o3-mini
102,Write a program that adds two user-input numbers and displays the result.,Easy,"a = float(input(""Enter first number: ""))
b = float(input(""Enter second number: ""))
print(a + b)",3,0.0,0,3 | 4,7.0,3.0,0.0463330070488154,o3-mini
103,Take an integer as input and print whether it is even or odd.,Easy,"num = int(input(""Enter an integer: ""))
if num % 2 == 0:
    print(""Even"")
else:
    print(""Odd"")",5,0.0,0,7,Odd,Even,0.0837499974295497,o3-mini
104,"Given three numbers, print the largest one.",Easy,"a = float(input(""Enter first number: ""))
b = float(input(""Enter second number: ""))
c = float(input(""Enter third number: ""))
print(max(a, b, c))",4,0.0,0,3 | 7 | 5,7.0,6.0,0.0989160034805536,o3-mini
105,Swap the values of two variables without using a third variable.,Easy,"a = input(""Enter first value: "")
b = input(""Enter second value: "")
a, b = b, a
print(""a ="", a)
print(""b ="", b)",5,0.0,0,10 | 20,"a = 20
b = 10","a = 5
b = 3",0.1141670218203216,o3-mini
106,Print all numbers from 1 to 100 using a for loop.,Easy,"for i in range(1, 101):
    print(i)",2,0.0,1,,"1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
60
61
62
63
64
65
66
67
68
69
70
71
72
73
74
75
76
77
78
79
80
81
82
83
84
85
86
87
88
89
90
91
92
93
94
95
96
97
98
99
100","1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
60
61
62
63
64
65
66
67
68
69
70
71
72
73
74
75
76
77
78
79
80
81
82
83
84
85
86
87
88
89
90
91
92
93
94
95
96
97
98
99
100",0.4020419728476554,o3-mini
107,Ask the user for a number and print its multiplication table up to 10.,Easy,"num = int(input(""Enter a number: ""))
for i in range(1, 11):
    print(f""{num} x {i} = {num*i}"")",3,0.0,1,5,"5 x 1 = 5
5 x 2 = 10
5 x 3 = 15
5 x 4 = 20
5 x 5 = 25
5 x 6 = 30
5 x 7 = 35
5 x 8 = 40
5 x 9 = 45
5 x 10 = 50","10 x 1 = 10
10 x 2 = 20
10 x 3 = 30
10 x 4 = 40
10 x 5 = 50
10 x 6 = 60
10 x 7 = 70
10 x 8 = 80
10 x 9 = 90
10 x 10 = 100",0.0654169998597353,o3-mini
108,Write a function to calculate the factorial of a number using a loop.,Easy,"def factorial(n):
    result = 1
    for i in range(1, n+1):
        result *= i
    return result

num = int(input(""Enter a number: ""))
print(factorial(num))",8,1.0,1,5,120,24,0.1005840022116899,o3-mini
109,Check if a given number is a prime number.,Easy,"num = int(input(""Enter a number: ""))
if num < 2:
    print(""Not prime"")
else:
    is_prime = True
    for i in range(2, int(num**0.5)+1):
        if num % i == 0:
            is_prime = False
            break
    print(""Prime"" if is_prime else ""Not prime"")",10,0.0,1,7,Prime,Not prime,0.2554590173531323,o3-mini
